id,user_id,item,created_at,revenue
95,100,bread,03/07/2020,410
74,100,banana,03/13/2020,175
20,100,banana,03/18/2020,599
29,100,milk,03/29/2020,410
27,101,milk,03/01/2020,449
65,101,milk,03/26/2020,740
24,102,bread,03/25/2020,325
6,103,bread,03/29/2020,862
22,103,milk,03/31/2020,290
32,104,biscuit,03/31/2020,957
75,105,banana,03/05/2020,815
82,105,banana,03/09/2020,972
58,105,bread,03/21/2020,562
96,106,milk,03/21/2020,379
93,107,bread,03/01/2020,701
4,108,banana,03/18/2020,862
40,109,bread,03/02/2020,362
1,109,milk,03/03/2020,123
26,109,bread,03/22/2020,432
33,110,bread,03/13/2020,210
41,110,bread,03/13/2020,262
98,110,bread,03/27/2020,225
94,111,biscuit,03/18/2020,218
71,111,milk,03/19/2020,205
49,111,biscuit,03/23/2020,204
43,112,banana,03/04/2020,381
69,112,biscuit,03/14/2020,334
23,112,banana,03/23/2020,523
18,112,banana,03/24/2020,262
67,113,biscuit,03/21/2020,278
97,114,banana,03/25/2020,705
84,114,biscuit,03/31/2020,202
55,116,milk,03/12/2020,468
11,116,bread,03/31/2020,226
100,117,bread,03/10/2020,209
78,117,bread,03/11/2020,270
44,117,biscuit,03/19/2020,831
60,117,banana,03/22/2020,249
89,118,milk,03/15/2020,735
70,118,milk,03/30/2020,603
54,119,biscuit,03/15/2020,355
14,119,banana,03/28/2020,127
85,120,milk,03/06/2020,898
3,120,milk,03/18/2020,176
25,120,biscuit,03/21/2020,858
39,120,milk,03/27/2020,793
77,121,milk,03/16/2020,476
16,122,bread,03/06/2020,593
7,122,banana,03/07/2020,952
31,123,milk,03/31/2020,434
80,124,bread,03/31/2020,937
8,125,bread,03/13/2020,317
64,127,milk,03/27/2020,300
12,128,bread,03/04/2020,112
17,128,biscuit,03/24/2020,160
36,128,milk,03/28/2020,498
76,129,milk,03/02/2020,489
30,129,milk,03/02/2020,771
86,130,milk,03/06/2020,581
46,130,bread,03/09/2020,149
35,130,milk,03/12/2020,176
21,130,milk,03/16/2020,604
99,130,milk,03/16/2020,494
5,130,milk,03/28/2020,333
83,131,milk,03/09/2020,808
51,131,bread,03/10/2020,155
91,132,bread,03/06/2020,161
47,133,bread,03/08/2020,658
79,133,milk,03/12/2020,446
37,133,banana,03/21/2020,837
63,133,banana,03/26/2020,353
62,134,bread,03/08/2020,981
90,136,biscuit,03/22/2020,410
66,137,biscuit,03/12/2020,473
45,137,banana,03/23/2020,490
92,137,biscuit,03/31/2020,427
28,138,milk,03/19/2020,961
2,139,biscuit,03/18/2020,421
9,139,bread,03/30/2020,929
42,140,milk,03/09/2020,468
52,140,biscuit,03/17/2020,810
87,141,biscuit,03/11/2020,749
56,141,milk,03/14/2020,254
10,141,banana,03/17/2020,812
68,141,bread,03/21/2020,118
15,142,bread,03/09/2020,503
48,143,milk,03/11/2020,317
57,143,bread,03/16/2020,647
34,143,bread,03/27/2020,870
81,145,bread,03/07/2020,821
13,146,biscuit,03/04/2020,362
72,146,biscuit,03/13/2020,599
88,147,bread,03/14/2020,262
53,147,banana,03/22/2020,702
73,148,banana,03/14/2020,530
59,149,biscuit,03/11/2020,827
19,149,banana,03/29/2020,382
50,150,banana,03/04/2020,299
38,150,banana,03/20/2020,927
61,150,banana,03/21/2020,450
